CODE,Аймаг,Aimag,Сум,Soum,ургац,Crop,Year1
34434,Дорноговь,Dornogovi,Хатанбулаг,Khatanbulag,Гар тэжээл,Handmade fodder,6.4
34434,Дорноговь,Dornogovi,Хатанбулаг,Khatanbulag,Хужир шүү,Mineral fodder,1
34437,Дорноговь,Dornogovi,Хөвсгөл,Khuvsgul,"Бэлтгэсэн өвс, хадлан",Hay harvest,343
34440,Дорноговь,Dornogovi,Эрдэнэ,Erdene,Тэжээлийн ургамал,Fodder crops,2.5
34440,Дорноговь,Dornogovi,Эрдэнэ,Erdene,"Бэлтгэсэн өвс, хадлан",Hay harvest,860.3
34440,Дорноговь,Dornogovi,Эрдэнэ,Erdene,Гар тэжээл,Handmade fodder,5.9
34440,Дорноговь,Dornogovi,Эрдэнэ,Erdene,Хужир шүү,Mineral fodder,94.35
34501,Дархан-Уул,Darkhan-Uul,Дархан,Darkhan,"Бэлтгэсэн өвс, хадлан",Hay harvest,12480.1
34501,Дархан-Уул,Darkhan-Uul,Дархан,Darkhan,Гар тэжээл,Handmade fodder,297.352
34501,Дархан-Уул,Darkhan-Uul,Дархан,Darkhan,Хужир шүү,Mineral fodder,255.94
34504,Дархан-Уул,Darkhan-Uul,Орхон,Orkhon,"Бэлтгэсэн өвс, хадлан",Hay harvest,5180
34504,Дархан-Уул,Darkhan-Uul,Орхон,Orkhon,Гар тэжээл,Handmade fodder,306
34504,Дархан-Уул,Darkhan-Uul,Орхон,Orkhon,Хужир шүү,Mineral fodder,72
34507,Дархан-Уул,Darkhan-Uul,Хонгор,Khongor,Тэжээлийн ургамал,Fodder crops,700.52
34507,Дархан-Уул,Darkhan-Uul,Хонгор,Khongor,"Бэлтгэсэн өвс, хадлан",Hay harvest,10499.6
34507,Дархан-Уул,Darkhan-Uul,Хонгор,Khongor,Гар тэжээл,Handmade fodder,322.35
34507,Дархан-Уул,Darkhan-Uul,Хонгор,Khongor,Хужир шүү,Mineral fodder,352.1
34510,Дархан-Уул,Darkhan-Uul,Шарын гол,Shariin gol,"Бэлтгэсэн өвс, хадлан",Hay harvest,4653
34510,Дархан-Уул,Darkhan-Uul,Шарын гол,Shariin gol,Гар тэжээл,Handmade fodder,20.99
34510,Дархан-Уул,Darkhan-Uul,Шарын гол,Shariin gol,Хужир шүү,Mineral fodder,112.85
34601,Өмнөговь,Umnugovi,Даланзадгад,Dalanzadgad,Тэжээлийн ургамал,Fodder crops,3.1
34601,Өмнөговь,Umnugovi,Даланзадгад,Dalanzadgad,"Бэлтгэсэн өвс, хадлан",Hay harvest,357.16
34601,Өмнөговь,Umnugovi,Даланзадгад,Dalanzadgad,Гар тэжээл,Handmade fodder,12.6
34601,Өмнөговь,Umnugovi,Даланзадгад,Dalanzadgad,Хужир шүү,Mineral fodder,5.8
34604,Өмнөговь,Umnugovi,Баяндалай,Bayandalai,"Бэлтгэсэн өвс, хадлан",Hay harvest,328.3
34604,Өмнөговь,Umnugovi,Баяндалай,Bayandalai,Гар тэжээл,Handmade fodder,25.2
34604,Өмнөговь,Umnugovi,Баяндалай,Bayandalai,Хужир шүү,Mineral fodder,162.4
34607,Өмнөговь,Umnugovi,Баян-Овоо,Bayan-Ovoo,Тэжээлийн ургамал,Fodder crops,20
34607,Өмнөговь,Umnugovi,Баян-Овоо,Bayan-Ovoo,"Бэлтгэсэн өвс, хадлан",Hay harvest,164.7
34607,Өмнөговь,Umnugovi,Баян-Овоо,Bayan-Ovoo,Гар тэжээл,Handmade fodder,33.95
34607,Өмнөговь,Umnugovi,Баян-Овоо,Bayan-Ovoo,Хужир шүү,Mineral fodder,88.2
34610,Өмнөговь,Umnugovi,Булган,Bulgan,"Бэлтгэсэн өвс, хадлан",Hay harvest,494.3
34610,Өмнөговь,Umnugovi,Булган,Bulgan,Гар тэжээл,Handmade fodder,6.5
34610,Өмнөговь,Umnugovi,Булган,Bulgan,Хужир шүү,Mineral fodder,131
34613,Өмнөговь,Umnugovi,Гурвантэс,Gurvantes,Тэжээлийн ургамал,Fodder crops,60
34613,Өмнөговь,Umnugovi,Гурвантэс,Gurvantes,"Бэлтгэсэн өвс, хадлан",Hay harvest,916.55
34613,Өмнөговь,Umnugovi,Гурвантэс,Gurvantes,Гар тэжээл,Handmade fodder,76.08
34613,Өмнөговь,Umnugovi,Гурвантэс,Gurvantes,Хужир шүү,Mineral fodder,107.65
34616,Өмнөговь,Umnugovi,Мандал-Овоо,Mandal-Ovoo,"Бэлтгэсэн өвс, хадлан",Hay harvest,246.5
34616,Өмнөговь,Umnugovi,Мандал-Овоо,Mandal-Ovoo,Гар тэжээл,Handmade fodder,14.6
34619,Өмнөговь,Umnugovi,Манлай,Manlai,"Бэлтгэсэн өвс, хадлан",Hay harvest,632.99
34619,Өмнөговь,Umnugovi,Манлай,Manlai,Гар тэжээл,Handmade fodder,37.8
34619,Өмнөговь,Umnugovi,Манлай,Manlai,Хужир шүү,Mineral fodder,129.6
34622,Өмнөговь,Umnugovi,Ноён,Noyon,Тэжээлийн ургамал,Fodder crops,1.25
34622,Өмнөговь,Umnugovi,Ноён,Noyon,"Бэлтгэсэн өвс, хадлан",Hay harvest,216.1
34622,Өмнөговь,Umnugovi,Ноён,Noyon,Гар тэжээл,Handmade fodder,9.4
34622,Өмнөговь,Umnugovi,Ноён,Noyon,Хужир шүү,Mineral fodder,225.2
34625,Өмнөговь,Umnugovi,Номгон,Nomgon,Тэжээлийн ургамал,Fodder crops,200
34625,Өмнөговь,Umnugovi,Номгон,Nomgon,"Бэлтгэсэн өвс, хадлан",Hay harvest,454.45
34625,Өмнөговь,Umnugovi,Номгон,Nomgon,Гар тэжээл,Handmade fodder,327
34625,Өмнөговь,Umnugovi,Номгон,Nomgon,Хужир шүү,Mineral fodder,653
34628,Өмнөговь,Umnugovi,Сэврэй,Sevrei,Тэжээлийн ургамал,Fodder crops,0.3
34628,Өмнөговь,Umnugovi,Сэврэй,Sevrei,"Бэлтгэсэн өвс, хадлан",Hay harvest,414
34628,Өмнөговь,Umnugovi,Сэврэй,Sevrei,Гар тэжээл,Handmade fodder,3
34628,Өмнөговь,Umnugovi,Сэврэй,Sevrei,Хужир шүү,Mineral fodder,200.9
34631,Өмнөговь,Umnugovi,Ханбогд,Khanbogd,"Бэлтгэсэн өвс, хадлан",Hay harvest,497.5
34631,Өмнөговь,Umnugovi,Ханбогд,Khanbogd,Гар тэжээл,Handmade fodder,313.5
34631,Өмнөговь,Umnugovi,Ханбогд,Khanbogd,Хужир шүү,Mineral fodder,269
34634,Өмнөговь,Umnugovi,Ханхонгор,Khankhongor,Тэжээлийн ургамал,Fodder crops,300
34634,Өмнөговь,Umnugovi,Ханхонгор,Khankhongor,"Бэлтгэсэн өвс, хадлан",Hay harvest,694.7
34634,Өмнөговь,Umnugovi,Ханхонгор,Khankhongor,Гар тэжээл,Handmade fodder,272
34634,Өмнөговь,Umnugovi,Ханхонгор,Khankhongor,Хужир шүү,Mineral fodder,153
34637,Өмнөговь,Umnugovi,Хүрмэн,Khurmen,"Бэлтгэсэн өвс, хадлан",Hay harvest,130.3
34637,Өмнөговь,Umnugovi,Хүрмэн,Khurmen,Гар тэжээл,Handmade fodder,21.5
34637,Өмнөговь,Umnugovi,Хүрмэн,Khurmen,Хужир шүү,Mineral fodder,56.2
34640,Өмнөговь,Umnugovi,Цогт-Овоо,Tsogt-Ovoo,"Бэлтгэсэн өвс, хадлан",Hay harvest,572.5
34640,Өмнөговь,Umnugovi,Цогт-Овоо,Tsogt-Ovoo,Гар тэжээл,Handmade fodder,0.1
34640,Өмнөговь,Umnugovi,Цогт-Овоо,Tsogt-Ovoo,Хужир шүү,Mineral fodder,1.5
34643,Өмнөговь,Umnugovi,Цогтцэций,Tsogttsetsii,"Бэлтгэсэн өвс, хадлан",Hay harvest,1122.8
34643,Өмнөговь,Umnugovi,Цогтцэций,Tsogttsetsii,Гар тэжээл,Handmade fodder,38.5
34643,Өмнөговь,Umnugovi,Цогтцэций,Tsogttsetsii,Хужир шүү,Mineral fodder,29.5
34801,Дундговь,Dundgovi,Сайнцагаан,Saintsagaan,"Бэлтгэсэн өвс, хадлан",Hay harvest,436.85
34801,Дундговь,Dundgovi,Сайнцагаан,Saintsagaan,Гар тэжээл,Handmade fodder,131
34801,Дундговь,Dundgovi,Сайнцагаан,Saintsagaan,Хужир шүү,Mineral fodder,65
34804,Дундговь,Dundgovi,Адаацаг,Adaatsag,"Бэлтгэсэн өвс, хадлан",Hay harvest,464
34804,Дундговь,Dundgovi,Адаацаг,Adaatsag,Гар тэжээл,Handmade fodder,157.412
34804,Дундговь,Dundgovi,Адаацаг,Adaatsag,Хужир шүү,Mineral fodder,89
34807,Дундговь,Dundgovi,Баянжаргалан,Bayanjargalan,"Бэлтгэсэн өвс, хадлан",Hay harvest,140.68
34807,Дундговь,Dundgovi,Баянжаргалан,Bayanjargalan,Гар тэжээл,Handmade fodder,51.28
34807,Дундговь,Dundgovi,Баянжаргалан,Bayanjargalan,Хужир шүү,Mineral fodder,88.35
34810,Дундговь,Dundgovi,Говь-Угтаал,Govi-Ugtaal,"Бэлтгэсэн өвс, хадлан",Hay harvest,61.6
34810,Дундговь,Dundgovi,Говь-Угтаал,Govi-Ugtaal,Гар тэжээл,Handmade fodder,108.82
34810,Дундговь,Dundgovi,Говь-Угтаал,Govi-Ugtaal,Хужир шүү,Mineral fodder,59
34813,Дундговь,Dundgovi,Гурвансайхан,Gurvansaikhan,"Бэлтгэсэн өвс, хадлан",Hay harvest,38.95
34813,Дундговь,Dundgovi,Гурвансайхан,Gurvansaikhan,Гар тэжээл,Handmade fodder,52.9
34813,Дундговь,Dundgovi,Гурвансайхан,Gurvansaikhan,Хужир шүү,Mineral fodder,82.575
34816,Дундговь,Dundgovi,Дэлгэрхангай,Delgerkhangai,"Бэлтгэсэн өвс, хадлан",Hay harvest,3363.3
34816,Дундговь,Dundgovi,Дэлгэрхангай,Delgerkhangai,Гар тэжээл,Handmade fodder,8.1
34816,Дундговь,Dundgovi,Дэлгэрхангай,Delgerkhangai,Хужир шүү,Mineral fodder,42.2
34819,Дундговь,Dundgovi,Дэлгэрцогт,Delgertsogt,"Бэлтгэсэн өвс, хадлан",Hay harvest,575.25
34819,Дундговь,Dundgovi,Дэлгэрцогт,Delgertsogt,Гар тэжээл,Handmade fodder,135
34819,Дундговь,Dundgovi,Дэлгэрцогт,Delgertsogt,Хужир шүү,Mineral fodder,3.5
34822,Дундговь,Dundgovi,Дэрэн,Deren,"Бэлтгэсэн өвс, хадлан",Hay harvest,215.2
34822,Дундговь,Dundgovi,Дэрэн,Deren,Гар тэжээл,Handmade fodder,1061
34822,Дундговь,Dundgovi,Дэрэн,Deren,Хужир шүү,Mineral fodder,480
34825,Дундговь,Dundgovi,Луус,Luus,"Бэлтгэсэн өвс, хадлан",Hay harvest,297.5
34825,Дундговь,Dundgovi,Луус,Luus,Гар тэжээл,Handmade fodder,55.9
34825,Дундговь,Dundgovi,Луус,Luus,Хужир шүү,Mineral fodder,16
34828,Дундговь,Dundgovi,Өлзийт,Ulziit,"Бэлтгэсэн өвс, хадлан",Hay harvest,40
34828,Дундговь,Dundgovi,Өлзийт,Ulziit,Гар тэжээл,Handmade fodder,66.7
34831,Дундговь,Dundgovi,Өндөршил,Undurshil,"Бэлтгэсэн өвс, хадлан",Hay harvest,1
34831,Дундговь,Dundgovi,Өндөршил,Undurshil,Гар тэжээл,Handmade fodder,126.5
34834,Дундговь,Dundgovi,Сайхан-Овоо,Saikhan-Ovoo,"Бэлтгэсэн өвс, хадлан",Hay harvest,803.57
34834,Дундговь,Dundgovi,Сайхан-Овоо,Saikhan-Ovoo,Гар тэжээл,Handmade fodder,7.2
34834,Дундговь,Dundgovi,Сайхан-Овоо,Saikhan-Ovoo,Хужир шүү,Mineral fodder,69.45
34837,Дундговь,Dundgovi,Хулд,Khuld,Тэжээлийн ургамал,Fodder crops,1
34837,Дундговь,Dundgovi,Хулд,Khuld,"Бэлтгэсэн өвс, хадлан",Hay harvest,140
34837,Дундговь,Dundgovi,Хулд,Khuld,Гар тэжээл,Handmade fodder,63
34837,Дундговь,Dundgovi,Хулд,Khuld,Хужир шүү,Mineral fodder,10.5
34840,Дундговь,Dundgovi,Цагаандэлгэр,Tsagaandelger,"Бэлтгэсэн өвс, хадлан",Hay harvest,249.5
34840,Дундговь,Dundgovi,Цагаандэлгэр,Tsagaandelger,Гар тэжээл,Handmade fodder,98.2
34840,Дундговь,Dundgovi,Цагаандэлгэр,Tsagaandelger,Хужир шүү,Mineral fodder,106
34843,Дундговь,Dundgovi,Эрдэнэдалай,Erdenedalai,Тэжээлийн ургамал,Fodder crops,0
34843,Дундговь,Dundgovi,Эрдэнэдалай,Erdenedalai,"Бэлтгэсэн өвс, хадлан",Hay harvest,517.5
34843,Дундговь,Dundgovi,Эрдэнэдалай,Erdenedalai,Гар тэжээл,Handmade fodder,1501.6
34843,Дундговь,Dundgovi,Эрдэнэдалай,Erdenedalai,Хужир шүү,Mineral fodder,1226.9
42101,Дорнод,Dornod,Хэрлэн,Kherlen,"Бэлтгэсэн өвс, хадлан",Hay harvest,9906.9
